project_id,project_name,ministry,city,budget_usd,start_date,end_date,status,lead_official
PJ103,Erbil Smart Energy Project 103,M981,Erbil,79202508,2025-11-25,2029-11-16,planned,Eng. Azad Dara Hassan
PJ104,Sulaymaniyah Smart Education Project 104,M539,Sulaymaniyah,106696206,2025-04-25,2029-09-27,delayed,Eng. Narin Mohammed Ahmad
PJ105,Zakho National Education Project 105,M591,Zakho,24985908,2024-06-05,2027-08-23,active,Gen. Zeynep Jamal Hassan
PJ106,Erbil Digital Water Project 106,M508,Erbil,4719526,2025-08-10,2026-07-13,delayed,Dr. Baran Jalal Hama
PJ107,Zakho Public Transport Project 107,M194,Zakho,110944241,2024-04-25,2027-09-20,completed,Gen. Vian Mustafa Ahmad
PJ108,Sulaymaniyah Digital Housing Project 108,M620,Sulaymaniyah,64838194,2024-10-09,2028-05-28,planned,Gen. Tara Raber Mustafa
PJ109,Duhok Digital Transport Project 109,M286,Duhok,45526683,2024-10-01,2026-04-18,planned,Dr. Tara Mohammed Tahir
PJ110,Halabja Integrated Housing Project 110,M118,Halabja,73485859,2023-11-08,2026-05-24,completed,Dr. Jalal Mustafa Mustafa
PJ111,Sulaymaniyah Regional Infrastructure Project 111,M488,Sulaymaniyah,35969306,2024-07-24,2028-11-26,active,Eng. Sardar Jamal Kadir
PJ112,Sulaymaniyah Regional Security Project 112,M942,Sulaymaniyah,15813833,2025-01-17,2026-01-21,planned,Eng. Dara Saeed Nasser
PJ113,Zakho Integrated Transport Project 113,M093,Zakho,42603896,2025-04-14,2029-01-31,delayed,Dr. Jalal Sherzad Othman
PJ114,Halabja Regional Energy Project 114,M662,Halabja,112585521,2023-01-21,2026-10-25,delayed,Dr. Avan Farhad Kadir
PJ115,Zakho Integrated Education Project 115,M279,Zakho,79507253,2022-03-24,2022-10-12,completed,Gen. Avan Barzan Ahmad
PJ116,Duhok Regional Health Project 116,M992,Duhok,23175759,2025-12-25,2027-12-30,active,Gen. Rebaz Karim Tahir
PJ117,Zakho Regional Culture Project 117,M038,Zakho,6719551,2023-04-21,2024-04-15,active,Dr. Rozhan Dara Hassan
PJ118,Halabja Digital Energy Project 118,M390,Halabja,84036853,2023-01-07,2025-01-08,planned,Gen. Narin Latif Nasser
PJ119,Zakho Regional Water Project 119,M654,Zakho,27579935,2024-03-13,2028-07-30,delayed,Dr. Pishtiwan Ihsan Taha
PJ120,Halabja Public Energy Project 120,M963,Halabja,78515307,2025-03-08,2028-11-07,active,Eng. Wrya Salam Saeed
PJ121,Zakho Public Infrastructure Project 121,M565,Zakho,49660985,2025-12-07,2028-05-02,completed,Gen. Zhyan Farhad Othman
PJ122,Erbil National Transport Project 122,M964,Erbil,69818024,2025-04-10,2030-01-13,delayed,Gen. Zhyan Mustafa Karim
PJ123,Zakho Smart Health Project 123,M283,Zakho,117418026,2023-08-29,2027-12-24,active,Eng. Wrya Aziz Hama
PJ124,Sulaymaniyah Regional Infrastructure Project 124,M862,Sulaymaniyah,95244683,2023-07-07,2026-04-03,active,Dr. Shilan Ihsan Othman
PJ125,Erbil Digital Culture Project 125,M433,Erbil,107501865,2024-05-15,2028-03-27,completed,Eng. Saman Nawzad Mahmoud
PJ126,Sulaymaniyah Smart Housing Project 126,M503,Sulaymaniyah,33930372,2024-11-12,2025-10-07,planned,Eng. Chnar Saeed Ahmad
PJ127,Erbil Digital Health Project 127,M870,Erbil,76439116,2025-11-03,2028-10-17,completed,Eng. Lana Salam Othman
PJ128,Halabja Regional Health Project 128,M038,Halabja,54640812,2022-09-19,2023-12-23,delayed,Dr. Rozhan Dara Hassan
PJ129,Erbil Regional Transport Project 129,M315,Erbil,83100357,2023-12-05,2025-12-31,completed,Eng. Lana Nawzad Karim
PJ130,Erbil Integrated Education Project 130,M630,Erbil,111131587,2022-08-18,2025-10-15,completed,Eng. Farhad Barzan Karimi
PJ131,Erbil Integrated Water Project 131,M063,Erbil,4298678,2022-05-28,2025-06-11,completed,Eng. Yara Farid Omar
PJ132,Sulaymaniyah Public Health Project 132,M607,Sulaymaniyah,39724523,2023-10-29,2026-11-03,active,Dr. Jalal Saeed Ali
PJ133,Zakho Smart Water Project 133,M155,Zakho,33176257,2024-09-21,2025-05-07,delayed,Dr. Yara Rizgar Karim
PJ134,Halabja Digital Culture Project 134,M983,Halabja,33040670,2024-10-10,2028-08-13,delayed,Eng. Alan Farhad Saeed
PJ135,Erbil Public Health Project 135,M609,Erbil,99483044,2022-11-12,2024-09-15,active,Gen. Fuad Latif Hassan
PJ136,Halabja National Infrastructure Project 136,M672,Halabja,8429191,2024-10-01,2026-10-20,planned,Gen. Azad Mustafa Ahmad
PJ137,Sulaymaniyah Digital Culture Project 137,M259,Sulaymaniyah,98575927,2022-10-21,2025-06-18,completed,Dr. Xezal Jalal Salih
PJ138,Sulaymaniyah Regional Housing Project 138,M218,Sulaymaniyah,6566598,2023-04-04,2027-06-14,delayed,Dr. Rebaz Mustafa Karim
PJ139,Zakho Public Transport Project 139,M328,Zakho,37700288,2024-08-28,2025-12-04,delayed,Gen. Dara Mustafa Karim
PJ140,Zakho Digital Housing Project 140,M293,Zakho,39461403,2022-12-19,2024-03-26,planned,Dr. Rami Nawzad Omar
PJ141,Halabja Digital Energy Project 141,M153,Halabja,41894536,2023-05-22,2027-06-24,delayed,Dr. Nawzad Fuad Mahmoud
PJ142,Zakho National Energy Project 142,M163,Zakho,25189289,2022-04-01,2027-01-28,delayed,Gen. Saman Jalal Karimi
PJ143,Zakho Smart Security Project 143,M154,Zakho,88299880,2023-11-08,2026-06-13,completed,Dr. Zeynep Hama Aziz
PJ144,Sulaymaniyah Integrated Health Project 144,M541,Sulaymaniyah,111041995,2023-09-18,2028-01-11,planned,Eng. Vian Bakr Kadir
PJ145,Erbil National Health Project 145,M225,Erbil,99091754,2025-06-30,2028-10-30,active,Dr. Baran Latif Taha
PJ146,Halabja Integrated Education Project 146,M736,Halabja,38576925,2025-12-24,2027-04-11,active,Dr. Chnar Farhad Hasan
PJ147,Sulaymaniyah Digital Water Project 147,M832,Sulaymaniyah,109791177,2025-05-12,2028-04-21,planned,Dr. Farhad Kamaran Hama
PJ148,Sulaymaniyah National Culture Project 148,M380,Sulaymaniyah,31581785,2022-10-09,2026-02-20,delayed,Dr. Salih Saeed Faris
PJ149,Halabja Regional Transport Project 149,M032,Halabja,83922160,2023-03-28,2027-01-11,active,Gen. Fuad Saeed Tahir
PJ150,Erbil Public Energy Project 150,M838,Erbil,55694810,2025-05-26,2026-11-17,planned,Gen. Narin Mustafa Karimi
PJ151,Halabja Integrated Water Project 151,M450,Halabja,47120690,2024-01-24,2025-01-07,completed,Eng. Pishtiwan Mohammed Rashid
PJ152,Halabja Integrated Transport Project 152,M789,Halabja,19910075,2023-10-01,2025-10-31,planned,Dr. Bestun Salam Said
PJ153,Sulaymaniyah Regional Culture Project 153,M944,Sulaymaniyah,26254031,2024-09-28,2026-01-21,delayed,Gen. Vian Nawzad Aziz
PJ154,Sulaymaniyah Public Energy Project 154,M812,Sulaymaniyah,28220279,2023-02-23,2025-01-22,planned,Gen. Saman Jamal Salih
PJ155,Duhok Regional Energy Project 155,M690,Duhok,67113385,2024-02-01,2028-06-11,completed,Gen. Salih Kamaran Hama
PJ156,Sulaymaniyah Smart Health Project 156,M095,Sulaymaniyah,117097109,2025-05-01,2026-12-03,planned,Gen. Hawkar Kamaran Karim
PJ157,Sulaymaniyah Regional Transport Project 157,M338,Sulaymaniyah,47485792,2022-08-22,2023-12-12,planned,Eng. Saman Dara Mahmoud
PJ158,Halabja Integrated Security Project 158,M712,Halabja,5687154,2024-02-14,2027-02-08,completed,Gen. Kamaran Jamal Ahmad
PJ159,Erbil Integrated Health Project 159,M490,Erbil,88540265,2024-09-07,2025-09-13,delayed,Gen. Rozhan Farid Nuri
PJ160,Sulaymaniyah Integrated Housing Project 160,M931,Sulaymaniyah,23400366,2023-04-09,2025-01-23,completed,Dr. Rami Farid Karimi
PJ161,Erbil Integrated Culture Project 161,M345,Erbil,41947777,2022-09-08,2024-05-01,active,Gen. Baran Bakr Ali
PJ162,Erbil Digital Transport Project 162,M780,Erbil,12162105,2025-12-18,2030-07-20,active,Eng. Rami Barzan Mustafa
PJ163,Sulaymaniyah National Education Project 163,M917,Sulaymaniyah,4171212,2024-06-22,2026-01-17,delayed,Gen. Rozhan Bakr Hassan
PJ164,Erbil Digital Culture Project 164,M136,Erbil,24481143,2022-06-20,2025-07-06,delayed,Eng. Randa Dara Kadir
PJ165,Zakho Public Housing Project 165,M646,Zakho,85485214,2022-03-22,2024-12-08,planned,Dr. Mazin Fuad Rashid
PJ166,Sulaymaniyah Regional Infrastructure Project 166,M432,Sulaymaniyah,84838334,2022-01-02,2026-09-14,planned,Dr. Narin Jalal Kadir
PJ167,Duhok Regional Energy Project 167,M827,Duhok,80851568,2025-01-18,2028-07-26,planned,Eng. Aryan Aziz Ali
PJ168,Zakho Public Education Project 168,M321,Zakho,84884190,2025-02-22,2026-03-10,completed,Eng. Alan Barzan Mahmoud
PJ169,Erbil Digital Culture Project 169,M588,Erbil,41962324,2022-06-26,2023-01-28,delayed,Gen. Kamaran Barzan Ali
PJ170,Sulaymaniyah Public Energy Project 170,M539,Sulaymaniyah,20647937,2023-10-18,2024-05-14,planned,Eng. Narin Mohammed Ahmad
PJ171,Sulaymaniyah National Housing Project 171,M378,Sulaymaniyah,82417004,2022-09-21,2026-09-05,completed,Dr. Zhyan Jalal Omar
PJ172,Halabja National Education Project 172,M869,Halabja,8406356,2024-03-22,2025-10-14,active,Eng. Mazin Farhad Mahmoud
PJ173,Sulaymaniyah Integrated Energy Project 173,M865,Sulaymaniyah,28053130,2022-01-27,2024-10-14,delayed,Dr. Helin Hama Hassan
PJ174,Halabja Public Health Project 174,M243,Halabja,111806052,2025-11-16,2028-07-25,active,Gen. Chnar Jamal Aziz
PJ175,Halabja Integrated Health Project 175,M678,Halabja,10918995,2024-02-12,2026-09-27,completed,Gen. Zeynep Karim Mustafa
PJ176,Zakho National Transport Project 176,M096,Zakho,56411113,2023-08-24,2028-01-27,completed,Gen. Farhad Kamaran Taha
PJ177,Sulaymaniyah Regional Water Project 177,M620,Sulaymaniyah,80849407,2023-01-28,2027-01-20,planned,Gen. Tara Raber Mustafa
PJ178,Sulaymaniyah Smart Infrastructure Project 178,M575,Sulaymaniyah,71738848,2024-06-04,2028-03-12,active,Dr. Layla Raber Aziz
PJ179,Duhok Digital Education Project 179,MOT,Duhok,22510078,2024-07-21,2025-01-23,planned,Eng. Hawkar Salam Qadir
PJ180,Erbil Public Transport Project 180,M042,Erbil,116269923,2024-12-17,2028-04-12,delayed,Gen. Bestun Nawzad Faris
PJ181,Halabja National Transport Project 181,M935,Halabja,84165529,2022-06-15,2024-01-28,planned,Eng. Chnar Raber Kadir
PJ182,Erbil Digital Culture Project 182,M252,Erbil,70491468,2022-02-13,2024-08-28,delayed,Dr. Saman Jamal Tahir
PJ183,Sulaymaniyah Smart Transport Project 183,M104,Sulaymaniyah,118224095,2025-06-30,2029-12-06,completed,Eng. Aryan Ihsan Hassan
PJ184,Halabja National Housing Project 184,M166,Halabja,17716654,2022-10-24,2024-08-21,planned,Eng. Shilan Barzan Hasan
PJ185,Erbil Public Security Project 185,M035,Erbil,20901915,2022-02-12,2026-05-01,delayed,Gen. Rebaz Ihsan Hassan
PJ186,Halabja Digital Health Project 186,M730,Halabja,6263403,2022-12-18,2023-11-03,active,Dr. Dara Farid Hassan
PJ187,Duhok Regional Infrastructure Project 187,M991,Duhok,115265940,2022-07-23,2023-01-30,planned,Eng. Hawkar Raber Said
PJ188,Halabja Regional Infrastructure Project 188,M828,Halabja,38783352,2023-09-12,2027-05-07,delayed,Eng. Shilan Sherzad Said
PJ189,Erbil National Security Project 189,M717,Erbil,112866784,2025-04-06,2028-03-17,planned,Gen. Mazin Latif Mustafa
PJ190,Zakho Smart Infrastructure Project 190,M865,Zakho,7769819,2025-10-05,2027-08-09,completed,Dr. Helin Hama Hassan
PJ191,Sulaymaniyah National Transport Project 191,M343,Sulaymaniyah,19738162,2022-06-07,2026-04-09,delayed,Eng. Yara Mohammed Aziz
PJ192,Sulaymaniyah National Energy Project 192,M937,Sulaymaniyah,23069916,2024-02-25,2026-06-23,planned,Gen. Zeynep Sherzad Nasser
PJ193,Duhok National Education Project 193,M082,Duhok,87393006,2024-09-13,2029-07-17,completed,Dr. Rebaz Aziz Mahmoud
PJ194,Zakho Digital Energy Project 194,M014,Zakho,110986790,2024-02-14,2025-06-20,delayed,Dr. Jalal Rizgar Aziz
PJ195,Zakho Public Transport Project 195,M1000,Zakho,42424982,2024-02-02,2024-10-19,completed,Gen. Dara Sherzad Mahmoud
PJ196,Sulaymaniyah National Transport Project 196,M527,Sulaymaniyah,101262231,2022-06-20,2025-09-26,delayed,Eng. Naz Omar Tahir
PJ197,Erbil Smart Housing Project 197,M426,Erbil,96943489,2022-05-31,2025-02-19,planned,Dr. Bestun Rizgar Mahmoud
PJ198,Zakho Smart Security Project 198,M969,Zakho,27857074,2023-04-03,2027-11-15,planned,Eng. Lana Rebaz Taha
PJ199,Sulaymaniyah Regional Water Project 199,M167,Sulaymaniyah,74182080,2025-09-08,2027-12-14,completed,Dr. Nawzad Fuad Mahmoud
PJ200,Sulaymaniyah Public Health Project 200,M544,Sulaymaniyah,60581638,2024-04-05,2025-12-03,active,Dr. Karwan Saeed Omar
PJ201,Sulaymaniyah Public Culture Project 201,M105,Sulaymaniyah,14673272,2024-11-17,2028-10-25,active,Dr. Dashni Sherzad Karim
PJ202,Halabja Public Culture Project 202,M148,Halabja,17979775,2023-10-21,2026-10-09,delayed,Gen. Farhad Omar Ahmad
PJ203,Sulaymaniyah Integrated Culture Project 203,M689,Sulaymaniyah,58629607,2023-04-21,2027-08-05,delayed,Dr. Yara Salam Saeed
PJ204,Duhok Digital Energy Project 204,M220,Duhok,111634561,2022-10-18,2026-12-20,completed,Dr. Dashni Jalal Mahmoud
PJ205,Sulaymaniyah Integrated Health Project 205,M931,Sulaymaniyah,3236030,2022-10-23,2025-08-23,active,Dr. Rami Farid Karimi
