event_id,event_name,type,city,venue,date,tickets,price_usd,organiser
EV053,Duhok Book Meetup 2026,Cultural,Duhok,Dream Hall Duhok,2025-12-21,6948,40,UoS
EV054,Halabja Education Week 2024,Government,Halabja,Sirwan Park,2025-12-27,10034,80,Kurdistan Data Institute
EV055,Erbil Science Expo 2025,Technology,Erbil,Erbil International Fair Ground,2025-03-31,2736,60,Sulaymaniyah Events Co.
EV056,Halabja Heritage Summit 2026,Business,Halabja,Halabja Cultural Hall,2024-08-07,3573,50,Duhok Sports Directorate
EV057,Sulaymaniyah Culture Festival 2024,Sports,Sulaymaniyah,Slemani Expo Center,2025-04-16,711,0,AUK
EV058,Erbil Culture Meetup 2025,Business,Erbil,Rotana Hotel,2026-02-07,123,15,KRG Ministry of Culture
EV059,Sulaymaniyah Business Forum 2026,Government,Sulaymaniyah,Bakhtiary Arena,2025-11-23,8352,40,AUK
EV060,Sulaymaniyah Culture Forum 2024,Cultural,Sulaymaniyah,Goizha Convention Center,2025-12-29,2609,0,KRG Ministry of Culture
EV061,Sulaymaniyah Education Week 2025,Education,Sulaymaniyah,Bakhtiary Arena,2025-03-09,1473,50,KRG Government
EV062,Erbil Culture Expo 2026,Commemorative,Erbil,Divan Hotel Erbil,2025-06-28,4061,50,Zakho Municipality
EV063,Duhok Business Fair 2024,Business,Duhok,AUK Campus,2024-01-15,5843,15,StartupKRG
EV064,Halabja Culture Fair 2025,Commemorative,Halabja,Halabja Youth Center,2025-04-28,334,0,UKH
EV065,Halabja Health Expo 2026,Technology,Halabja,Halabja Cultural Hall,2025-10-28,2347,40,AUK
EV066,Sulaymaniyah Startup Week 2024,Government,Sulaymaniyah,Goizha Convention Center,2025-06-13,9100,50,Kurdistan Tech Association
EV067,Sulaymaniyah Science Conference 2025,Government,Sulaymaniyah,Slemani Expo Center,2024-01-17,3884,40,StartupKRG
EV068,Zakho Heritage Festival 2026,Government,Zakho,New Zakho Hall,2025-05-23,1245,20,KRG Ministry of Culture
EV069,Erbil Book Bootcamp 2024,Sports,Erbil,AUK Auditorium,2025-09-24,2750,60,StartupKRG
EV070,Sulaymaniyah Startup Festival 2025,Sports,Sulaymaniyah,Bakhtiary Arena,2025-06-07,3170,50,UZakho
EV071,Duhok Film Bootcamp 2026,Cultural,Duhok,Duhok Expo,2026-01-21,6843,80,KRG Presidency
EV072,Halabja Culture Bootcamp 2024,Cultural,Halabja,Sirwan Park,2024-10-31,1230,10,SPU
EV073,Erbil Heritage Festival 2025,Cultural,Erbil,Sami Abdulrahman Park,2025-06-30,9180,100,StartupKRG
EV074,Erbil Education Meetup 2026,Education,Erbil,Sami Abdulrahman Park,2025-06-19,8953,40,UoS
EV075,Erbil Culture Festival 2024,Sports,Erbil,AUK Auditorium,2024-01-31,4015,60,StartupKRG
EV076,Erbil Film Bootcamp 2025,Health,Erbil,UKH Campus,2024-12-03,3896,80,UoS
EV077,Duhok Heritage Forum 2026,Government,Duhok,AUK Campus,2024-05-21,6847,60,Kurdistan Data Institute
EV078,Erbil Film Festival 2024,Commemorative,Erbil,Empire World Mall,2025-12-02,10386,35,KRG Presidency
EV079,Zakho Culture Conference 2025,Music,Zakho,New Zakho Hall,2026-06-05,3108,35,StartupKRG
EV080,Duhok Science Camp 2026,Commemorative,Duhok,Dream Hall Duhok,2026-07-11,2202,15,StartupKRG
EV081,Duhok Startup Summit 2024,Conference,Duhok,Dream Hall Duhok,2025-07-28,11382,50,Duhok Sports Directorate
EV082,Zakho Culture Fair 2025,Government,Zakho,Zakho Park,2025-12-24,9587,60,Duhok Sports Directorate
EV083,Duhok Science Fair 2026,Commemorative,Duhok,AUK Campus,2025-10-07,3811,35,KRG Ministry of Culture
EV084,Zakho Heritage Conference 2024,Health,Zakho,University of Zakho Hall,2024-01-06,7017,100,UKH
EV085,Zakho Innovation Meetup 2025,Business,Zakho,Zakho Park,2024-11-17,6417,0,Sulaymaniyah Events Co.
EV086,Halabja Innovation Forum 2026,Technology,Halabja,Halabja Youth Center,2024-05-13,1863,0,KRG Government
EV087,Duhok Innovation Summit 2024,Health,Duhok,AUK Campus,2024-10-23,5947,80,SPU
EV088,Halabja Book Meetup 2025,Commemorative,Halabja,Halabja Memorial,2024-05-06,8986,50,UZakho
EV089,Erbil Film Conference 2026,Business,Erbil,UKH Campus,2026-03-04,11349,25,Duhok Sports Directorate
EV090,Erbil Culture Conference 2024,Conference,Erbil,Erbil Citadel Grounds,2024-10-22,9906,35,KRG Ministry of Culture
EV091,Zakho Science Expo 2025,Government,Zakho,Zakho Stadium,2024-09-02,7866,100,Sulaymaniyah Events Co.
EV092,Halabja Culture Festival 2026,Education,Halabja,Halabja Youth Center,2026-05-31,7364,50,UoS
EV093,Sulaymaniyah Book Week 2024,Sports,Sulaymaniyah,Goizha Convention Center,2025-10-23,7144,100,Zakho Municipality
EV094,Zakho Book Conference 2025,Education,Zakho,University of Zakho Hall,2025-04-04,7471,50,Zakho Municipality
EV095,Halabja Education Meetup 2026,Education,Halabja,Halabja Youth Center,2024-08-13,1419,50,KRG Media Commission
EV096,Zakho Heritage Bootcamp 2024,Music,Zakho,Zakho Park,2026-12-21,7368,0,UZakho
EV097,Zakho Business Fair 2025,Sports,Zakho,University of Zakho Hall,2025-06-19,7387,10,UKH
EV098,Zakho Business Summit 2026,Technology,Zakho,University of Zakho Hall,2026-11-28,1893,15,KRG Government
EV099,Erbil Book Expo 2024,Education,Erbil,Sami Abdulrahman Park,2025-09-23,876,40,UKH
EV100,Zakho Innovation Summit 2025,Music,Zakho,Zakho Stadium,2024-02-29,7990,20,AUK
EV101,Halabja Book Week 2026,Education,Halabja,Halabja Cultural Hall,2025-07-24,1559,80,KRG Presidency
EV102,Sulaymaniyah Education Meetup 2024,Business,Sulaymaniyah,SPU Auditorium,2024-08-10,11987,10,KRG Presidency
EV103,Erbil Science Conference 2025,Business,Erbil,Erbil Citadel Grounds,2024-06-16,5858,50,Sulaymaniyah Events Co.
EV104,Duhok Education Festival 2026,Business,Duhok,Duhok Cultural Center,2025-03-24,5112,15,Kurdistan Data Institute
EV105,Sulaymaniyah Innovation Forum 2024,Education,Sulaymaniyah,Bakhtiary Arena,2026-02-21,11118,60,UZakho
EV106,Halabja Innovation Camp 2025,Music,Halabja,Halabja Memorial,2024-05-02,3266,20,UKH
EV107,Erbil Book Conference 2026,Education,Erbil,Erbil Citadel Grounds,2025-01-19,4731,60,Duhok Sports Directorate
EV108,Sulaymaniyah Business Camp 2024,Health,Sulaymaniyah,Slemani Expo Center,2026-06-25,1094,35,KRG Ministry of Culture
EV109,Zakho Science Conference 2025,Technology,Zakho,University of Zakho Hall,2026-03-22,4875,10,KRG Presidency
EV110,Zakho Science Fair 2026,Government,Zakho,Zakho Park,2025-04-25,2257,20,Sulaymaniyah Events Co.
EV111,Sulaymaniyah Heritage Festival 2024,Sports,Sulaymaniyah,Goizha Convention Center,2026-07-25,9721,100,SPU
EV112,Sulaymaniyah Science Fair 2025,Conference,Sulaymaniyah,Azmar Resort,2024-03-14,6082,10,Duhok Sports Directorate
EV113,Duhok Health Forum 2026,Government,Duhok,Duhok Expo,2024-02-19,1649,10,SPU
EV114,Zakho Startup Summit 2024,Conference,Zakho,Zakho Park,2025-08-13,364,10,Zakho Municipality
EV115,Erbil Heritage Expo 2025,Government,Erbil,Divan Hotel Erbil,2025-12-20,2886,5,Kurdistan Tech Association
EV116,Halabja Startup Festival 2026,Government,Halabja,Halabja Youth Center,2026-12-06,6924,100,Sulaymaniyah Events Co.
EV117,Duhok Science Camp 2024,Commemorative,Duhok,Dream Hall Duhok,2025-05-08,7026,50,Kurdistan Data Institute
EV118,Zakho Health Camp 2025,Business,Zakho,Zakho Park,2025-08-05,5408,35,KRG Media Commission
EV119,Zakho Health Summit 2026,Cultural,Zakho,New Zakho Hall,2025-04-11,6426,80,AUK
EV120,Zakho Book Summit 2024,Business,Zakho,Zakho Park,2026-12-18,7802,5,SPU
EV121,Erbil Health Expo 2025,Sports,Erbil,Rotana Hotel,2025-08-14,3231,5,KRG Presidency
EV122,Sulaymaniyah Science Summit 2026,Conference,Sulaymaniyah,SPU Auditorium,2026-09-28,952,35,UKH
EV123,Duhok Heritage Fair 2024,Education,Duhok,Duhok Expo,2025-02-23,9458,100,AUK
EV124,Halabja Heritage Meetup 2025,Cultural,Halabja,Halabja Youth Center,2024-07-02,396,15,KRG Ministry of Culture
EV125,Sulaymaniyah Startup Meetup 2026,Sports,Sulaymaniyah,Bakhtiary Arena,2024-08-24,6729,5,Kurdistan Data Institute
EV126,Duhok Culture Meetup 2024,Cultural,Duhok,Dream Hall Duhok,2026-03-27,7293,0,SPU
EV127,Zakho Heritage Forum 2025,Business,Zakho,Zakho Stadium,2024-03-01,11600,25,Zakho Municipality
EV128,Zakho Science Conference 2026,Commemorative,Zakho,Zakho Park,2026-02-23,9698,100,Sulaymaniyah Events Co.
EV129,Zakho Innovation Camp 2024,Cultural,Zakho,New Zakho Hall,2024-11-12,9241,35,KRG Presidency
EV130,Duhok Heritage Forum 2025,Technology,Duhok,Duhok Expo,2026-10-28,10930,25,Kurdistan Tech Association
EV131,Zakho Heritage Conference 2026,Business,Zakho,New Zakho Hall,2024-06-02,4089,50,UZakho
EV132,Halabja Education Bootcamp 2024,Music,Halabja,Halabja Cultural Hall,2025-05-17,10931,25,StartupKRG
EV133,Sulaymaniyah Business Fair 2025,Commemorative,Sulaymaniyah,Slemani Expo Center,2025-05-17,8871,0,UoS
EV134,Zakho Startup Fair 2026,Conference,Zakho,Zakho Park,2025-08-01,3521,50,UKH
EV135,Erbil Innovation Week 2024,Cultural,Erbil,Empire World Mall,2024-08-08,143,25,KRG Media Commission
EV136,Duhok Startup Week 2025,Cultural,Duhok,Duhok Stadium,2025-06-06,177,80,Duhok Sports Directorate
EV137,Halabja Film Fair 2026,Commemorative,Halabja,Halabja Memorial,2026-06-07,9867,0,Zakho Municipality
EV138,Sulaymaniyah Film Summit 2024,Sports,Sulaymaniyah,Azmar Resort,2024-04-26,9933,10,KRG Ministry of Culture
EV139,Erbil Science Festival 2025,Government,Erbil,UKH Campus,2026-12-12,9958,10,Kurdistan Tech Association
EV140,Zakho Education Forum 2026,Health,Zakho,New Zakho Hall,2026-08-05,10292,15,KRG Media Commission
EV141,Halabja Health Conference 2024,Sports,Halabja,Halabja Youth Center,2024-01-23,10402,35,AUK
EV142,Erbil Book Week 2025,Cultural,Erbil,Erbil International Fair Ground,2025-03-28,3933,50,UKH
EV143,Sulaymaniyah Business Bootcamp 2026,Music,Sulaymaniyah,SPU Auditorium,2024-12-05,3093,15,StartupKRG
EV144,Sulaymaniyah Education Camp 2024,Technology,Sulaymaniyah,SPU Auditorium,2026-10-14,2326,40,UKH
EV145,Erbil Book Summit 2025,Education,Erbil,Rotana Hotel,2024-02-27,10760,5,Kurdistan Data Institute
EV146,Halabja Culture Forum 2026,Technology,Halabja,Halabja Youth Center,2026-04-02,5997,40,Zakho Municipality
EV147,Zakho Startup Bootcamp 2024,Technology,Zakho,University of Zakho Hall,2024-09-08,3208,0,Kurdistan Data Institute
EV148,Duhok Business Meetup 2025,Health,Duhok,Dream Hall Duhok,2024-09-25,124,0,KRG Government
EV149,Zakho Culture Meetup 2026,Sports,Zakho,New Zakho Hall,2026-05-25,8425,60,Kurdistan Data Institute
EV150,Zakho Startup Conference 2024,Education,Zakho,Zakho Stadium,2026-03-31,7724,80,KRG Ministry of Culture
EV151,Zakho Book Fair 2025,Conference,Zakho,New Zakho Hall,2024-01-17,139,15,Kurdistan Data Institute
EV152,Erbil Innovation Conference 2026,Business,Erbil,Empire World Mall,2024-01-06,1546,25,UoS
EV153,Sulaymaniyah Education Forum 2024,Conference,Sulaymaniyah,Azmar Resort,2026-01-08,11464,50,KRG Presidency
EV154,Duhok Heritage Bootcamp 2025,Sports,Duhok,Duhok Cultural Center,2025-08-23,3113,25,StartupKRG
EV155,Zakho Heritage Festival 2026,Conference,Zakho,University of Zakho Hall,2026-12-02,5041,15,UZakho
EV156,Zakho Innovation Festival 2024,Commemorative,Zakho,Zakho Stadium,2025-01-17,5981,40,AUK
EV157,Halabja Science Week 2025,Health,Halabja,Sirwan Park,2025-04-18,10662,25,Sulaymaniyah Events Co.
EV158,Duhok Book Expo 2026,Commemorative,Duhok,Dream Hall Duhok,2024-04-15,4364,100,Sulaymaniyah Events Co.
EV159,Duhok Book Forum 2024,Government,Duhok,Duhok Cultural Center,2024-01-15,1229,60,UZakho
EV160,Sulaymaniyah Education Bootcamp 2025,Government,Sulaymaniyah,Bakhtiary Arena,2026-11-09,1405,100,UKH
EV161,Halabja Business Summit 2026,Business,Halabja,Sirwan Park,2025-09-21,6031,40,UKH
EV162,Duhok Heritage Summit 2024,Sports,Duhok,Duhok Cultural Center,2025-12-27,10427,5,Sulaymaniyah Events Co.
EV163,Sulaymaniyah Health Meetup 2025,Health,Sulaymaniyah,UoS Hall,2024-10-18,9672,100,KRG Presidency
EV164,Halabja Science Forum 2026,Music,Halabja,Halabja Youth Center,2024-11-11,8924,35,Kurdistan Data Institute
EV165,Duhok Science Forum 2024,Music,Duhok,Duhok Stadium,2026-07-25,3770,25,KRG Media Commission
EV166,Erbil Business Summit 2025,Conference,Erbil,Rotana Hotel,2026-08-03,473,80,SPU
EV167,Duhok Science Conference 2026,Business,Duhok,Duhok Expo,2024-10-20,2533,20,SPU
EV168,Sulaymaniyah Culture Camp 2024,Cultural,Sulaymaniyah,Bakhtiary Arena,2025-10-26,8362,50,Kurdistan Data Institute
EV169,Duhok Startup Expo 2025,Education,Duhok,Duhok Expo,2025-03-26,10021,40,Duhok Sports Directorate
EV170,Sulaymaniyah Innovation Bootcamp 2026,Commemorative,Sulaymaniyah,UoS Hall,2025-12-27,828,10,AUK
EV171,Zakho Education Meetup 2024,Music,Zakho,Zakho Park,2025-06-28,11185,15,UoS
EV172,Duhok Book Camp 2025,Sports,Duhok,Duhok Expo,2025-10-14,6772,60,UoS
EV173,Erbil Culture Forum 2026,Technology,Erbil,AUK Auditorium,2024-05-06,4151,35,UKH
EV174,Zakho Film Bootcamp 2024,Government,Zakho,Zakho Stadium,2026-08-29,3274,35,KRG Presidency
EV175,Erbil Education Summit 2025,Conference,Erbil,AUK Auditorium,2026-09-16,3391,40,Duhok Sports Directorate
EV176,Halabja Science Bootcamp 2026,Conference,Halabja,Sirwan Park,2025-07-17,9050,40,Kurdistan Data Institute
EV177,Halabja Education Summit 2024,Cultural,Halabja,Halabja Memorial,2025-08-04,4841,0,KRG Media Commission
EV178,Erbil Culture Camp 2025,Cultural,Erbil,Rotana Hotel,2026-11-22,7586,50,Sulaymaniyah Events Co.
EV179,Duhok Business Festival 2026,Technology,Duhok,AUK Campus,2024-02-15,3036,10,UoS
EV180,Erbil Startup Expo 2024,Sports,Erbil,Rotana Hotel,2025-09-09,790,25,AUK
EV181,Sulaymaniyah Heritage Forum 2025,Sports,Sulaymaniyah,Azmar Resort,2026-05-05,4652,80,Zakho Municipality
EV182,Halabja Innovation Week 2026,Education,Halabja,Halabja Memorial,2025-04-13,3343,40,Kurdistan Tech Association
EV183,Halabja Health Camp 2024,Health,Halabja,Sirwan Park,2024-05-25,446,10,UKH
EV184,Erbil Health Camp 2025,Business,Erbil,UKH Campus,2024-08-03,9338,80,KRG Presidency
EV185,Sulaymaniyah Innovation Week 2026,Music,Sulaymaniyah,Azmar Resort,2025-12-23,2895,80,StartupKRG
EV186,Erbil Book Festival 2024,Conference,Erbil,AUK Auditorium,2026-09-14,9962,50,UKH
EV187,Zakho Education Forum 2025,Government,Zakho,New Zakho Hall,2026-08-12,10582,100,KRG Ministry of Culture
EV188,Erbil Culture Summit 2026,Commemorative,Erbil,Rotana Hotel,2024-03-31,1344,40,UoS
EV189,Zakho Book Festival 2024,Education,Zakho,University of Zakho Hall,2025-07-31,9052,80,KRG Media Commission
EV190,Erbil Culture Expo 2025,Government,Erbil,Empire World Mall,2026-04-17,380,100,Duhok Sports Directorate
EV191,Duhok Innovation Fair 2026,Technology,Duhok,Duhok Stadium,2026-05-09,7197,0,UKH
EV192,Duhok Book Week 2024,Technology,Duhok,Duhok Cultural Center,2024-09-19,7842,15,KRG Media Commission
EV193,Halabja Science Festival 2025,Sports,Halabja,Halabja Cultural Hall,2025-10-28,9809,50,UoS
EV194,Sulaymaniyah Science Bootcamp 2026,Music,Sulaymaniyah,SPU Auditorium,2026-07-08,239,5,KRG Government
EV195,Sulaymaniyah Heritage Conference 2024,Business,Sulaymaniyah,UoS Hall,2024-05-24,6584,60,KRG Government
EV196,Erbil Startup Forum 2025,Sports,Erbil,Empire World Mall,2025-06-19,584,50,AUK
EV197,Duhok Startup Bootcamp 2026,Government,Duhok,Duhok Cultural Center,2025-04-05,2096,25,UKH
EV198,Erbil Startup Conference 2024,Music,Erbil,Empire World Mall,2025-05-14,10023,100,UZakho
EV199,Erbil Science Week 2025,Government,Erbil,Rotana Hotel,2025-07-22,5261,60,Duhok Sports Directorate
EV200,Halabja Health Summit 2026,Cultural,Halabja,Halabja Memorial,2025-10-09,2248,100,SPU
EV201,Zakho Education Bootcamp 2024,Government,Zakho,University of Zakho Hall,2024-05-01,7459,10,StartupKRG
EV202,Erbil Business Expo 2025,Government,Erbil,Empire World Mall,2024-02-14,2531,0,SPU
EV203,Zakho Culture Summit 2026,Health,Zakho,Zakho Park,2025-10-19,3617,50,Duhok Sports Directorate
EV204,Duhok Film Festival 2024,Music,Duhok,AUK Campus,2025-05-27,9487,40,Kurdistan Data Institute
EV205,Duhok Education Summit 2025,Technology,Duhok,AUK Campus,2024-10-23,6280,35,Kurdistan Tech Association
EV206,Erbil Film Summit 2026,Sports,Erbil,Divan Hotel Erbil,2024-08-31,8692,35,Sulaymaniyah Events Co.
EV207,Erbil Innovation Summit 2024,Education,Erbil,Rotana Hotel,2025-10-15,1178,15,KRG Ministry of Culture
EV208,Halabja Book Week 2025,Government,Halabja,Halabja Cultural Hall,2025-08-31,3050,80,KRG Government
EV209,Duhok Startup Fair 2026,Government,Duhok,Duhok Stadium,2026-08-30,434,15,Duhok Sports Directorate
EV210,Duhok Culture Festival 2024,Commemorative,Duhok,Duhok Cultural Center,2026-01-05,5515,10,Zakho Municipality
EV211,Duhok Science Week 2025,Music,Duhok,Duhok Expo,2024-07-29,9671,25,SPU
EV212,Zakho Book Conference 2026,Education,Zakho,Zakho Park,2024-02-01,4210,25,Duhok Sports Directorate
EV213,Halabja Health Camp 2024,Cultural,Halabja,Sirwan Park,2026-10-14,8719,100,UoS
EV214,Sulaymaniyah Culture Conference 2025,Government,Sulaymaniyah,Azmar Resort,2026-10-24,8668,35,SPU
EV215,Zakho Science Festival 2026,Commemorative,Zakho,University of Zakho Hall,2024-04-27,318,40,Duhok Sports Directorate
EV216,Halabja Book Forum 2024,Health,Halabja,Halabja Memorial,2026-05-01,1597,50,KRG Ministry of Culture
EV217,Sulaymaniyah Business Festival 2025,Cultural,Sulaymaniyah,UoS Hall,2026-01-27,7177,40,Zakho Municipality
EV218,Duhok Science Week 2026,Music,Duhok,AUK Campus,2026-01-22,10248,10,AUK
EV219,Duhok Heritage Camp 2024,Business,Duhok,Duhok Stadium,2026-07-11,7218,25,Duhok Sports Directorate
EV220,Zakho Film Meetup 2025,Health,Zakho,Zakho Park,2025-10-10,6185,60,KRG Presidency
EV221,Halabja Book Fair 2026,Health,Halabja,Halabja Youth Center,2026-01-12,11253,80,Kurdistan Tech Association
EV222,Duhok Education Bootcamp 2024,Music,Duhok,Duhok Stadium,2026-10-15,4945,10,Sulaymaniyah Events Co.
EV223,Erbil Innovation Expo 2025,Music,Erbil,AUK Auditorium,2025-03-13,6875,0,KRG Ministry of Culture
EV224,Erbil Education Summit 2026,Business,Erbil,Empire World Mall,2024-12-28,4101,10,SPU
EV225,Halabja Heritage Summit 2024,Conference,Halabja,Halabja Memorial,2025-06-24,1747,40,KRG Media Commission
EV226,Sulaymaniyah Education Expo 2025,Government,Sulaymaniyah,Bakhtiary Arena,2025-08-20,3249,0,UZakho
EV227,Zakho Film Conference 2026,Conference,Zakho,University of Zakho Hall,2026-06-01,290,60,KRG Ministry of Culture
EV228,Sulaymaniyah Science Conference 2024,Education,Sulaymaniyah,Bakhtiary Arena,2024-04-14,10817,15,KRG Presidency
EV229,Sulaymaniyah Business Meetup 2025,Conference,Sulaymaniyah,Slemani Expo Center,2026-02-19,683,25,UKH
EV230,Zakho Innovation Fair 2026,Music,Zakho,Zakho Stadium,2024-06-30,1264,25,UoS
EV231,Zakho Health Summit 2024,Technology,Zakho,Zakho Stadium,2026-10-26,7103,25,Kurdistan Data Institute
EV232,Sulaymaniyah Business Forum 2025,Commemorative,Sulaymaniyah,Azmar Resort,2026-02-10,1371,50,KRG Ministry of Culture
EV233,Sulaymaniyah Business Bootcamp 2026,Cultural,Sulaymaniyah,Goizha Convention Center,2025-07-16,2682,35,KRG Presidency
EV234,Duhok Education Conference 2024,Cultural,Duhok,Dream Hall Duhok,2026-01-02,6202,5,StartupKRG
EV235,Zakho Film Expo 2025,Government,Zakho,Zakho Stadium,2025-01-18,10078,60,Kurdistan Tech Association
EV236,Halabja Culture Bootcamp 2026,Conference,Halabja,Halabja Memorial,2024-05-19,9333,5,Zakho Municipality
EV237,Zakho Science Meetup 2024,Cultural,Zakho,Zakho Stadium,2026-09-25,7686,80,SPU
EV238,Erbil Book Camp 2025,Technology,Erbil,Sami Abdulrahman Park,2026-10-13,8599,25,AUK
EV239,Halabja Health Week 2026,Technology,Halabja,Halabja Memorial,2024-11-12,1414,100,Zakho Municipality
EV240,Zakho Heritage Conference 2024,Business,Zakho,Zakho Park,2025-12-08,6286,25,Zakho Municipality
