hospital_id,name,city,type,beds,specialities,director
H052,Zakho Medical Hospital 52,Zakho,Teaching,75,"Haematology, Surgery, Paediatrics",Dr. Narin Farid Hassan
H053,Zakho Medical Hospital 53,Zakho,Specialist,409,"Research, Cardiology, Neurology",Dr. Helin Dara Mustafa
H054,Erbil Specialist Hospital 54,Erbil,Private,110,"Endocrinology, Orthopaedics, Mental Health",Dr. Rami Aryan Karimi
H055,Erbil Private Hospital 55,Erbil,Specialist,431,"General, Emergency, Neurology, Nephrology",Dr. Zeynep Barzan Aziz
H056,Sulaymaniyah Teaching Hospital 56,Sulaymaniyah,Private,587,"Neurology, Cardiac Surgery, Nephrology, Research",Dr. Vian Farhad Othman
H057,Zakho Specialist Hospital 57,Zakho,Private,183,"Research, Oncology",Dr. Alan Nawzad Karimi
H058,Erbil General Hospital 58,Erbil,Public,121,"Paediatrics, General, Emergency",Dr. Dilan Karim Nuri
H059,Duhok Community Hospital 59,Duhok,Specialist,371,"Research, Haematology, Cardiology, Cardiac Surgery",Dr. Shilan Omar Said
H060,Erbil Private Hospital 60,Erbil,Specialist,333,"Surgery, Orthopaedics, Cardiac Surgery",Dr. Zeynep Nawzad Mustafa
H061,Duhok Private Hospital 61,Duhok,Public,572,"Paediatrics, Nephrology, Haematology",Dr. Alan Latif Karim
H062,Erbil Specialist Hospital 62,Erbil,Specialist,442,"Paediatrics, Cardiac Surgery, Emergency, Haematology",Dr. Farhad Farid Ahmad
H063,Halabja General Hospital 63,Halabja,Specialist,401,"Research, Cardiac Surgery, Oncology, Nephrology",Dr. Azad Aryan Tahir
H064,Erbil Community Hospital 64,Erbil,Private,287,"Emergency, Cardiology, Neurology, Oncology",Dr. Layla Karim Saeed
H065,Halabja Private Hospital 65,Halabja,Teaching,67,"Paediatrics, Haematology",Dr. Tara Saber Karim
H066,Sulaymaniyah Community Hospital 66,Sulaymaniyah,Teaching,106,"Haematology, Oncology, Endocrinology, Cardiology",Dr. Wrya Omar Taha
H067,Erbil Community Hospital 67,Erbil,Specialist,364,"Haematology, General, Neurology",Dr. Chnar Ihsan Taha
H068,Halabja Community Hospital 68,Halabja,Teaching,221,"Neurology, Paediatrics",Dr. Narin Rebaz Salih
H069,Duhok Teaching Hospital 69,Duhok,Teaching,338,"Orthopaedics, Research",Dr. Hawkar Aziz Othman
H070,Sulaymaniyah Private Hospital 70,Sulaymaniyah,Specialist,281,"Endocrinology, Surgery",Dr. Wrya Omar Said
H071,Zakho Medical Hospital 71,Zakho,Teaching,147,"Nephrology, Paediatrics, Endocrinology",Dr. Kavar Omar Taha
H072,Duhok General Hospital 72,Duhok,Teaching,576,"Mental Health, Orthopaedics, General, Oncology",Dr. Xezal Salam Kadir
H073,Zakho Specialist Hospital 73,Zakho,Teaching,221,"Nephrology, Cardiology, Research, Orthopaedics",Dr. Randa Fuad Said
H074,Halabja Specialist Hospital 74,Halabja,Public,641,"Emergency, Endocrinology, Nephrology",Dr. Salih Dara Ahmad
H075,Erbil Teaching Hospital 75,Erbil,Public,435,"Haematology, Research, Endocrinology, Surgery",Dr. Dashni Barzan Qadir
H076,Sulaymaniyah Teaching Hospital 76,Sulaymaniyah,Teaching,595,"Orthopaedics, Cardiology, Emergency, Nephrology",Dr. Kamaran Omar Said
H077,Erbil Private Hospital 77,Erbil,Public,314,"Orthopaedics, Surgery",Dr. Yara Salam Kadir
H078,Sulaymaniyah Private Hospital 78,Sulaymaniyah,Public,672,"Nephrology, Oncology, Neurology, Endocrinology",Dr. Xezal Aryan Faris
H079,Sulaymaniyah General Hospital 79,Sulaymaniyah,Teaching,208,"Cardiac Surgery, Cardiology, Oncology, Endocrinology",Dr. Aryan Salam Salih
H080,Erbil General Hospital 80,Erbil,Private,305,"Cardiac Surgery, Haematology, Cardiology",Dr. Shilan Hama Hama
H081,Duhok Specialist Hospital 81,Duhok,Public,378,"Nephrology, General",Dr. Lana Mohammed Taha
H082,Erbil Specialist Hospital 82,Erbil,Public,152,"General, Paediatrics, Endocrinology",Dr. Dilan Sherzad Omar
H083,Duhok Community Hospital 83,Duhok,Specialist,466,"Neurology, Mental Health, Research, Cardiac Surgery",Dr. Bestun Ihsan Salih
H084,Duhok Specialist Hospital 84,Duhok,Private,661,"Endocrinology, Surgery",Dr. Nawzad Jalal Rashid
H085,Zakho Community Hospital 85,Zakho,Specialist,364,"Neurology, Research, Oncology, General",Dr. Shilan Sherzad Nasser
H086,Erbil Medical Hospital 86,Erbil,Specialist,439,"Cardiac Surgery, Nephrology",Dr. Rami Omar Hassan
H087,Erbil Private Hospital 87,Erbil,Teaching,187,"Surgery, Mental Health, Oncology, Cardiac Surgery",Dr. Randa Jamal Said
H088,Sulaymaniyah Medical Hospital 88,Sulaymaniyah,Specialist,414,"Oncology, Nephrology, Mental Health, Cardiology",Dr. Zeynep Bakr Hama
H089,Zakho Community Hospital 89,Zakho,Private,696,"Endocrinology, Haematology, Oncology, General",Dr. Pishtiwan Fuad Hasan
H090,Erbil Private Hospital 90,Erbil,Private,192,"General, Research",Dr. Wrya Fuad Rashid
H091,Sulaymaniyah Community Hospital 91,Sulaymaniyah,Private,199,"Paediatrics, General, Cardiac Surgery, Orthopaedics",Dr. Sardar Mohammed Hama
H092,Zakho Specialist Hospital 92,Zakho,Teaching,245,"Research, Emergency, Paediatrics, Oncology",Dr. Farhad Rebaz Nasser
H093,Sulaymaniyah Community Hospital 93,Sulaymaniyah,Private,95,"Cardiology, Neurology, Research",Dr. Vian Rizgar Aziz
H094,Erbil Private Hospital 94,Erbil,Specialist,66,"Mental Health, Surgery",Dr. Yara Mohammed Salih
H095,Halabja General Hospital 95,Halabja,Teaching,63,"Endocrinology, Oncology",Dr. Alan Mustafa Tahir
H096,Duhok Medical Hospital 96,Duhok,Teaching,92,"Paediatrics, Endocrinology, Haematology",Dr. Nawzad Aziz Kadir
H097,Erbil Private Hospital 97,Erbil,Specialist,451,"Cardiac Surgery, Emergency, Surgery, Research",Dr. Narin Salam Karimi
H098,Erbil Medical Hospital 98,Erbil,Private,275,"Mental Health, Research, Haematology",Dr. Fuad Raber Karim
H099,Halabja Community Hospital 99,Halabja,Specialist,678,"Paediatrics, Cardiac Surgery, Haematology, Research",Dr. Rami Ihsan Mustafa
H100,Sulaymaniyah Medical Hospital 100,Sulaymaniyah,Private,655,"General, Haematology, Mental Health, Oncology",Dr. Sardar Omar Nasser
H101,Sulaymaniyah Community Hospital 101,Sulaymaniyah,Teaching,507,"General, Neurology, Paediatrics",Dr. Shilan Saeed Hasan
H102,Halabja General Hospital 102,Halabja,Private,387,"Surgery, General",Dr. Randa Saeed Kadir
H103,Halabja Community Hospital 103,Halabja,Private,633,"Cardiac Surgery, Orthopaedics, Surgery",Dr. Rozhan Dara Mustafa
H104,Halabja Private Hospital 104,Halabja,Public,420,"Neurology, Paediatrics",Dr. Lana Dara Faris
H105,Sulaymaniyah Community Hospital 105,Sulaymaniyah,Public,468,"Emergency, Research",Dr. Aryan Salam Hama
H106,Erbil Community Hospital 106,Erbil,Specialist,555,"Cardiac Surgery, Orthopaedics, Oncology",Dr. Layla Mustafa Said
H107,Duhok Community Hospital 107,Duhok,Teaching,439,"Haematology, Mental Health, Surgery, Nephrology",Dr. Avan Aryan Saeed
H108,Duhok Private Hospital 108,Duhok,Private,599,"Surgery, Mental Health, Oncology, Cardiac Surgery",Dr. Layla Saeed Nasser
H109,Halabja Teaching Hospital 109,Halabja,Private,92,"Orthopaedics, Research",Dr. Bestun Latif Aziz
H110,Duhok Medical Hospital 110,Duhok,Specialist,469,"Cardiac Surgery, Neurology, Mental Health, Haematology",Dr. Rebaz Latif Hassan
H111,Halabja Medical Hospital 111,Halabja,Private,541,"Research, Endocrinology, Surgery",Dr. Pishtiwan Karim Kadir
H112,Halabja Specialist Hospital 112,Halabja,Private,415,"Paediatrics, Research, Oncology, Cardiology",Dr. Helin Omar Karim
H113,Duhok Specialist Hospital 113,Duhok,Private,565,"Endocrinology, Cardiac Surgery, Research, Emergency",Dr. Rami Fuad Kadir
H114,Halabja Private Hospital 114,Halabja,Public,348,"Neurology, Cardiology, Mental Health",Dr. Salih Jamal Othman
H115,Sulaymaniyah Medical Hospital 115,Sulaymaniyah,Public,681,"Research, Endocrinology, Cardiology",Dr. Rami Fuad Omar
H116,Duhok Specialist Hospital 116,Duhok,Specialist,414,"Neurology, Emergency",Dr. Tara Omar Tahir
H117,Zakho Specialist Hospital 117,Zakho,Specialist,592,"Emergency, Haematology",Dr. Azad Nawzad Nuri
H118,Erbil General Hospital 118,Erbil,Private,112,"Orthopaedics, Research, Cardiac Surgery, Surgery",Dr. Randa Jamal Taha
H119,Erbil General Hospital 119,Erbil,Private,226,"Research, Emergency, Paediatrics, Mental Health",Dr. Pishtiwan Farid Rashid
H120,Halabja Specialist Hospital 120,Halabja,Private,541,"Endocrinology, Cardiac Surgery, Orthopaedics, Neurology",Dr. Yara Nawzad Said
H121,Erbil Community Hospital 121,Erbil,Public,134,"Surgery, Endocrinology, Neurology, Haematology",Dr. Fuad Mohammed Kadir
H122,Erbil Teaching Hospital 122,Erbil,Public,123,"Neurology, Surgery",Dr. Vian Ihsan Faris
H123,Sulaymaniyah Specialist Hospital 123,Sulaymaniyah,Public,404,"Haematology, Nephrology, Cardiac Surgery, Paediatrics",Dr. Tara Saber Kadir
H124,Zakho General Hospital 124,Zakho,Specialist,91,"Orthopaedics, Emergency, Oncology",Dr. Rami Nawzad Karim
H125,Duhok Private Hospital 125,Duhok,Specialist,189,"Mental Health, Cardiac Surgery, Oncology",Dr. Dilan Farhad Ali
H126,Sulaymaniyah Medical Hospital 126,Sulaymaniyah,Public,159,"Nephrology, Endocrinology, Neurology, Emergency",Dr. Azad Kamaran Rashid
H127,Halabja Specialist Hospital 127,Halabja,Private,563,"Paediatrics, Cardiac Surgery, Mental Health",Dr. Xezal Karim Karimi
H128,Sulaymaniyah General Hospital 128,Sulaymaniyah,Private,620,"Research, Cardiac Surgery, Mental Health",Dr. Mazin Aziz Othman
H129,Zakho Medical Hospital 129,Zakho,Private,141,"Nephrology, Research, Surgery",Dr. Baran Jamal Saeed
H130,Zakho Specialist Hospital 130,Zakho,Specialist,539,"Emergency, Research",Dr. Fuad Saber Salih
H131,Zakho General Hospital 131,Zakho,Specialist,401,"Surgery, Emergency, General",Dr. Shilan Rizgar Hasan
H132,Halabja General Hospital 132,Halabja,Teaching,429,"Surgery, Cardiology, Paediatrics, Cardiac Surgery",Dr. Karwan Farid Hasan
H133,Duhok Specialist Hospital 133,Duhok,Private,397,"Endocrinology, Neurology",Dr. Kavar Rizgar Nasser
H134,Zakho Specialist Hospital 134,Zakho,Private,579,"Surgery, Oncology, Nephrology, Mental Health",Dr. Vian Rizgar Hasan
H135,Zakho Specialist Hospital 135,Zakho,Specialist,376,"Paediatrics, Haematology, Research",Dr. Nawzad Mohammed Karim
H136,Erbil Specialist Hospital 136,Erbil,Teaching,265,"Neurology, Cardiac Surgery, Emergency",Dr. Saman Ihsan Omar
H137,Halabja Medical Hospital 137,Halabja,Private,194,"Paediatrics, Cardiology, Research, Haematology",Dr. Layla Aryan Kadir
H138,Halabja General Hospital 138,Halabja,Teaching,165,"Haematology, Cardiac Surgery, Orthopaedics",Dr. Wrya Salam Tahir
H139,Halabja Medical Hospital 139,Halabja,Public,162,"Cardiology, General, Mental Health",Dr. Randa Hama Hama
H140,Duhok Medical Hospital 140,Duhok,Teaching,296,"Nephrology, Orthopaedics, Neurology",Dr. Karwan Rizgar Kadir
H141,Halabja Medical Hospital 141,Halabja,Teaching,529,"Oncology, Research",Dr. Fuad Hama Mahmoud
H142,Duhok General Hospital 142,Duhok,Specialist,366,"Research, Neurology",Dr. Hawkar Jamal Said
H143,Duhok Private Hospital 143,Duhok,Teaching,205,"Paediatrics, Orthopaedics, Emergency",Dr. Mazin Farid Said
H144,Duhok Specialist Hospital 144,Duhok,Teaching,547,"Surgery, General, Mental Health",Dr. Azad Dara Karim
H145,Duhok Community Hospital 145,Duhok,Specialist,95,"Mental Health, Haematology",Dr. Avan Mustafa Aziz
H146,Duhok Private Hospital 146,Duhok,Private,294,"Cardiology, Endocrinology, Orthopaedics, Haematology",Dr. Kavar Karim Hama
H147,Duhok Medical Hospital 147,Duhok,Specialist,154,"Neurology, General",Dr. Narin Jamal Hasan
H148,Zakho Private Hospital 148,Zakho,Specialist,301,"Cardiology, Neurology, Cardiac Surgery, Paediatrics",Dr. Rozhan Jalal Said
H149,Duhok Private Hospital 149,Duhok,Private,561,"Emergency, Research, General",Dr. Rozhan Barzan Ahmad
H150,Zakho General Hospital 150,Zakho,Private,673,"Paediatrics, General",Dr. Yara Jalal Hassan
H151,Erbil Medical Hospital 151,Erbil,Public,157,"Emergency, Mental Health, General",Dr. Chnar Karim Karimi
H152,Zakho Medical Hospital 152,Zakho,Public,550,"Endocrinology, Mental Health, Neurology, Emergency",Dr. Jalal Nawzad Ahmad
H153,Halabja Teaching Hospital 153,Halabja,Specialist,209,"Research, Nephrology, Mental Health, Cardiology",Dr. Randa Karim Tahir
H154,Halabja Teaching Hospital 154,Halabja,Specialist,461,"Surgery, Endocrinology, Emergency, Haematology",Dr. Mazin Barzan Taha
H155,Zakho Medical Hospital 155,Zakho,Teaching,589,"Research, Mental Health",Dr. Azad Nawzad Karimi
H156,Zakho General Hospital 156,Zakho,Private,326,"Oncology, Nephrology, Surgery",Dr. Shilan Salam Nuri
H157,Duhok General Hospital 157,Duhok,Public,328,"Emergency, General",Dr. Helin Mohammed Qadir
H158,Zakho Specialist Hospital 158,Zakho,Teaching,679,"Paediatrics, Mental Health",Dr. Lana Nawzad Mahmoud
H159,Sulaymaniyah Specialist Hospital 159,Sulaymaniyah,Specialist,502,"Cardiac Surgery, Endocrinology, Nephrology",Dr. Karwan Kamaran Kadir
H160,Halabja General Hospital 160,Halabja,Public,102,"Cardiac Surgery, Endocrinology",Dr. Dashni Rizgar Nuri
H161,Duhok Private Hospital 161,Duhok,Private,449,"Nephrology, Research, Surgery",Dr. Sardar Latif Saeed
H162,Duhok Teaching Hospital 162,Duhok,Teaching,119,"Haematology, Orthopaedics, Cardiac Surgery, Paediatrics",Dr. Avan Latif Aziz
H163,Zakho Medical Hospital 163,Zakho,Private,250,"Cardiology, Nephrology, Oncology, Mental Health",Dr. Baran Omar Kadir
H164,Sulaymaniyah Specialist Hospital 164,Sulaymaniyah,Public,160,"Endocrinology, Haematology",Dr. Nawzad Fuad Hama
H165,Halabja Community Hospital 165,Halabja,Teaching,453,"Nephrology, Research",Dr. Tara Rebaz Kadir
H166,Duhok Medical Hospital 166,Duhok,Teaching,374,"Cardiac Surgery, Orthopaedics, Oncology",Dr. Pishtiwan Dara Mustafa
H167,Erbil Community Hospital 167,Erbil,Teaching,137,"Endocrinology, Nephrology",Dr. Kavar Jamal Faris
H168,Sulaymaniyah Community Hospital 168,Sulaymaniyah,Private,109,"Mental Health, Research",Dr. Kavar Raber Hama
H169,Halabja General Hospital 169,Halabja,Teaching,152,"Emergency, Orthopaedics, Paediatrics, Haematology",Dr. Jalal Saeed Kadir
H170,Zakho General Hospital 170,Zakho,Private,78,"Haematology, Mental Health, Oncology",Dr. Karwan Saber Othman
H171,Halabja Teaching Hospital 171,Halabja,Teaching,111,"Orthopaedics, Research",Dr. Hawkar Jalal Saeed
H172,Zakho Teaching Hospital 172,Zakho,Public,570,"Orthopaedics, Haematology, General, Nephrology",Dr. Aryan Saeed Mahmoud
H173,Duhok Medical Hospital 173,Duhok,Public,481,"General, Cardiac Surgery, Emergency",Dr. Aryan Nawzad Nasser
H174,Halabja Teaching Hospital 174,Halabja,Teaching,52,"Haematology, Oncology, Cardiac Surgery",Dr. Aryan Nawzad Hama
H175,Zakho Private Hospital 175,Zakho,Private,146,"Mental Health, Haematology",Dr. Rebaz Farid Karimi
H176,Duhok Community Hospital 176,Duhok,Public,356,"Nephrology, Surgery, Haematology, Endocrinology",Dr. Hawkar Latif Mahmoud
H177,Halabja Teaching Hospital 177,Halabja,Private,446,"Orthopaedics, Mental Health",Dr. Saman Farhad Ali
H178,Zakho Specialist Hospital 178,Zakho,Public,460,"Haematology, Paediatrics, Neurology, Cardiology",Dr. Zhyan Hama Ahmad
H179,Sulaymaniyah Community Hospital 179,Sulaymaniyah,Public,628,"General, Haematology, Neurology, Emergency",Dr. Rebaz Farhad Hassan
H180,Sulaymaniyah Specialist Hospital 180,Sulaymaniyah,Public,660,"Research, Mental Health",Dr. Chnar Rizgar Karimi
H181,Erbil Community Hospital 181,Erbil,Public,242,"Cardiac Surgery, Research",Dr. Zeynep Raber Rashid
H182,Halabja Medical Hospital 182,Halabja,Private,170,"General, Paediatrics, Neurology",Dr. Vian Ihsan Mustafa
H183,Halabja Teaching Hospital 183,Halabja,Private,461,"Haematology, Cardiac Surgery, Oncology, Research",Dr. Layla Farid Saeed
H184,Erbil Medical Hospital 184,Erbil,Specialist,425,"Cardiac Surgery, Endocrinology, General, Surgery",Dr. Pishtiwan Latif Hassan
H185,Sulaymaniyah Community Hospital 185,Sulaymaniyah,Teaching,608,"Orthopaedics, Endocrinology",Dr. Lana Saeed Aziz
H186,Duhok Teaching Hospital 186,Duhok,Public,468,"Nephrology, Emergency, Mental Health, Cardiology",Dr. Xezal Rebaz Nuri
H187,Duhok General Hospital 187,Duhok,Specialist,637,"Neurology, Research, Nephrology",Dr. Kavar Saeed Ahmad
H188,Duhok General Hospital 188,Duhok,Public,361,"Oncology, Cardiac Surgery",Dr. Dilan Mustafa Mustafa
H189,Sulaymaniyah Community Hospital 189,Sulaymaniyah,Teaching,426,"Orthopaedics, Cardiology",Dr. Fuad Farhad Hasan
H190,Zakho Community Hospital 190,Zakho,Specialist,152,"General, Orthopaedics, Research, Emergency",Dr. Rebaz Fuad Mustafa
H191,Zakho Private Hospital 191,Zakho,Teaching,470,"Orthopaedics, General",Dr. Fuad Rebaz Karimi
H192,Halabja Specialist Hospital 192,Halabja,Specialist,54,"Oncology, Neurology",Dr. Vian Omar Mahmoud
H193,Duhok Community Hospital 193,Duhok,Teaching,263,"Endocrinology, Mental Health",Dr. Mazin Rebaz Mahmoud
H194,Halabja Specialist Hospital 194,Halabja,Specialist,463,"Endocrinology, Surgery",Dr. Dashni Rebaz Othman
H195,Zakho General Hospital 195,Zakho,Private,367,"Haematology, Neurology",Dr. Tara Farhad Ahmad
H196,Halabja Private Hospital 196,Halabja,Private,131,"Mental Health, Nephrology, Endocrinology",Dr. Aryan Saeed Nuri
H197,Erbil Teaching Hospital 197,Erbil,Specialist,512,"Oncology, Neurology",Dr. Vian Saeed Karim
H198,Duhok Specialist Hospital 198,Duhok,Teaching,605,"Endocrinology, General",Dr. Pishtiwan Raber Karimi
H199,Halabja Specialist Hospital 199,Halabja,Public,604,"Nephrology, Paediatrics, Cardiac Surgery, Orthopaedics",Dr. Shilan Barzan Mahmoud
H200,Erbil Specialist Hospital 200,Erbil,Specialist,658,"Oncology, Paediatrics, General",Dr. Nawzad Barzan Hasan
H201,Duhok Medical Hospital 201,Duhok,Public,102,"Nephrology, Cardiology, Endocrinology",Dr. Aryan Aryan Karim
H202,Zakho Specialist Hospital 202,Zakho,Teaching,478,"Research, Neurology, Mental Health",Dr. Vian Rebaz Rashid
H203,Halabja Community Hospital 203,Halabja,Private,353,"Oncology, Nephrology, Haematology",Dr. Fuad Hama Kadir
H204,Erbil Teaching Hospital 204,Erbil,Specialist,591,"General, Emergency, Surgery, Neurology",Dr. Wrya Karim Omar
H205,Erbil Medical Hospital 205,Erbil,Private,467,"Cardiac Surgery, Emergency, Nephrology",Dr. Karwan Salam Aziz
H206,Sulaymaniyah Medical Hospital 206,Sulaymaniyah,Specialist,517,"Paediatrics, General, Emergency, Nephrology",Dr. Chnar Sherzad Tahir
H207,Zakho General Hospital 207,Zakho,Private,435,"Orthopaedics, Emergency, Endocrinology, Haematology",Dr. Lana Fuad Faris
H208,Halabja Teaching Hospital 208,Halabja,Public,106,"Endocrinology, Nephrology, Paediatrics, Cardiology",Dr. Chnar Saeed Nuri
H209,Duhok General Hospital 209,Duhok,Specialist,226,"Surgery, Emergency",Dr. Dara Rizgar Karimi
H210,Zakho Community Hospital 210,Zakho,Private,247,"Oncology, Neurology, Orthopaedics, Nephrology",Dr. Mazin Mohammed Rashid
H211,Sulaymaniyah Community Hospital 211,Sulaymaniyah,Public,460,"Orthopaedics, Neurology, Endocrinology, Haematology",Dr. Sardar Jamal Hasan
H212,Duhok Private Hospital 212,Duhok,Specialist,676,"Mental Health, General",Dr. Wrya Farhad Rashid
H213,Sulaymaniyah Specialist Hospital 213,Sulaymaniyah,Private,663,"Surgery, Haematology, Research",Dr. Saman Omar Rashid
H214,Halabja Specialist Hospital 214,Halabja,Public,83,"Paediatrics, Cardiac Surgery",Dr. Yara Saber Kadir
H215,Halabja Community Hospital 215,Halabja,Teaching,301,"Neurology, Surgery, Paediatrics",Dr. Hawkar Jalal Hasan
H216,Halabja General Hospital 216,Halabja,Teaching,196,"Oncology, Research, Endocrinology",Dr. Salih Mustafa Hassan
H217,Duhok Teaching Hospital 217,Duhok,Private,423,"Haematology, Endocrinology, Neurology",Dr. Vian Mustafa Hassan
H218,Zakho Community Hospital 218,Zakho,Specialist,607,"Surgery, Nephrology, Mental Health",Dr. Zeynep Aziz Othman
